ID,Message Size,Sending Rate,RTT,Latency
2230,2165778,75814299,9894,167874
1795,523668,33838138,6935,20583
4,2623078,51057052,22207,1658519
3132,1040614,3231615,9463,147860
3461,2270329,23639982,21274,55696
4627,855226,38865526,15152,49924
1456,1233373,11399244,8489,48965
2980,1835089,17467510,4471,107906
856,2718820,35192209,8960,71855
1620,2862796,14346210,1124,172253
2336,1939112,37101604,16070,59985
2408,771056,67917536,2090,161453
3037,1459561,8067453,109969,20939
360,1814815,54966959,7188,76737
3567,1990875,9464508,19920,49279
3723,2352064,35833806,10843,308342
4305,911123,8388504,109263,11767
4861,507286,10713040,8202,6462
1329,843019,11120336,1245,10555
3347,1885503,13654933,18156,75988
2874,1673022,37983362,472,110003
4746,1495778,15395765,51003,32810
4754,1988093,14624736,14555,88761
5152,2696191,36388170,10442,105706
993,1119405,36479355,575,168600
3428,846351,16071602,52566,17042
4428,1039069,15351669,5207,23354
1815,2703388,6283598,9806,376800
2599,2754348,17586941,5449,283976
3434,1812565,72271237,7607,161944
4379,2741439,108862363,2514,88263
1664,1033972,29750471,15426,21513
2139,1101806,54050502,4966,208619
1494,703908,22909001,564,6916
618,1281396,49239089,799,53435
352,859990,61430628,13781,48395
882,1720666,27879020,10163,43006
1752,2390982,12530969,10871,211220
2280,2900236,33616119,21981,76277
2687,2859496,18024991,3976,124421
2288,569395,34090270,15499,22328
2887,1836506,52129238,5074,102828
3501,2449588,30564067,4206,193715
4022,1700685,16035157,379,59840
2085,1276377,9360179,8248,11911
2424,2135760,13473786,11041,19591
4036,2397342,29545591,1159,90965
4477,2507894,16054616,7991,305932
3808,2207191,15320237,6628,152580
2024,615927,62847031,7125,6568
809,1637853,16708277,13267,55899
1755,2981379,38071381,479,97353
3253,509847,10374765,6425,32186
4009,2643521,55030199,4898,131966
4733,2908451,40329341,6790,109008
1584,2098751,26817185,13331,53828
4476,2243655,12321606,6484,189645
4358,2749355,10620377,8330,232250
2436,1312039,37306976,16241,126178
1357,1202406,34064866,409,74907
1454,1795697,40779838,536,159914
1539,691617,31732647,266,13303
2292,2408302,15573175,42083,230842
4422,745286,6081532,5207,15046
3172,2153674,28670658,2448,397167
4496,2992986,17612167,576,143556
1978,1165951,2905990,5378,370813
3033,2507425,23708051,21341,146458
638,2877358,31801126,7713,75909
4584,1510673,26449810,4178,48824
264,2360278,114651000,1481,994087
2399,2634664,28136578,5329,110314
1444,2276672,38364261,9665,90591
3335,862070,5159579,48366,18868
4174,2673405,32792848,26759,65786
4456,1370935,19772577,6756,68012
2231,2874228,11745670,92972,55842
3611,2183045,34913921,10589,71106
77,2129093,1211211,101296,6310
1477,1797468,35732402,388,91167
4946,2121835,23116607,21694,56876
2969,2639401,12995039,4471,62575
1408,2924585,13104329,48275,98865
4960,1309293,21164727,35370,23803
208,2935314,11491196,87401,3083877
924,2068394,4521816,2559,191385
1630,1816620,31327321,1652,57770
3338,2607153,11254718,27735,50415
341,1880971,13428149,10682,316322
1239,2660097,58360215,4129,99250
1383,2221958,29056655,697,99784
2253,2357559,8152807,13070,55223
2498,976832,9932607,6912,93432
380,2976441,16385052,9002,86756
1238,1376577,17904395,14843,17426
762,633454,13284933,6891,47885
1236,1751162,32515191,26485,41791
3984,2885856,50634344,15992,71912
4398,2836562,12748007,12381,82330
4432,2474083,18899523,5207,65860
4773,2054601,31507941,17633,66305
2633,1019266,27574838,15697,10106
941,2363460,23386097,23314,67405
4438,1608583,9547503,5207,102360
5026,561864,18519828,22570,8579
3682,2818018,14488893,15162,134751
594,1756008,15191454,15480,117777
3993,1071412,12217074,5767,10980
696,2434659,5377077,96012,123153
313,850706,21835411,19080,96349
1233,1146002,33386179,19995,45092
1486,2256188,19303875,32479,86834
1979,554790,3349744,10380,112919
2850,2196494,23195112,43025,102543
4439,2085153,16355166,5207,130795
1442,1913205,12736294,54195,43477
2306,545907,90346529,6822,5876
4684,2366883,26945167,29131,72317
3748,801508,16862057,6237,55750
3163,2057402,9583059,77157,30169
646,2658632,26105177,33487,60078
2468,1394739,53400623,8358,26028
2081,1297588,38852024,10930,55511
2800,2148065,24629290,2041,53849
1792,2931277,25872016,21689,90502
2197,968628,3592976,2428,77154
565,1918811,34537222,8664,37337
527,2543243,11034981,1013,146111
