ID,Message Size,Sending Rate,RTT,Latency
3896,1000,90547664,10793,4
2732,1000,54461942,9515,2
4106,1000,94316924,11021,4
4220,1000,92578602,11300,2
1081,1000,31354756,7765,10
3124,1000,58624438,9748,2
2433,1000,45803457,10144,18
4557,1000,77020576,14737,6
3344,1000,68284652,9964,2
4611,1000,79238821,15061,4
4868,1000,72142728,17010,5
5105,1000,72535373,18729,2
2377,1000,47894878,13155,4
1048,1000,31354756,7765,2
2041,1000,42049556,13365,5
2354,1000,47894878,13155,2
4403,1000,82528119,13932,4
4486,1000,82528119,13932,5
1376,1000,31308587,11268,2
1557,1000,30781070,13775,2
3074,1000,55715709,9556,4
3622,1000,74493190,10349,3
4847,1000,73922449,16846,22
1976,1000,43028789,13658,2
4687,1000,80763864,15100,2
9,1000,33519,9755,2
1073,1000,31354756,7765,2
3241,1000,60690391,9851,15
3743,1000,83751999,10655,5
1655,1000,34136219,14678,2
3700,1000,82794191,10584,5
2860,1000,53723108,9656,4
4489,1000,82528119,13932,2
68,1000,1195170,6661,2
4714,1000,74784307,15861,18
5188,1000,70221242,19417,2
638,1000,18881268,5420,2
3826,1000,75045027,10891,5
543,1000,20831690,5538,2
873,1000,30151406,4360,3
4309,1000,91372048,11366,6
3387,1000,69725671,9947,2
3787,1000,84550172,10801,2
4449,1000,82528119,13932,2
1243,1000,34076928,8724,4
5000,1000,73181647,17387,4
418,1000,13914624,5363,4
1683,1000,33799053,14551,5
167,1000,5384136,7979,2
2288,1000,47894878,13155,2
4390,1000,82528119,13932,4
2450,1000,49446659,9562,12
435,1000,13914624,5363,4
1163,1000,34076928,8724,4
3687,1000,81357479,10534,14
2880,1000,53723108,9656,2
3812,1000,75045027,10891,4
199,1000,5568750,7848,2
2316,1000,47894878,13155,4
3997,1000,90228985,10833,5
2196,1000,47254064,13269,3
5151,1000,72535373,18729,2
2243,1000,47894878,13155,7
4999,1000,73181647,17387,5
4121,1000,94316924,11021,2
1065,1000,31354756,7765,4
2502,1000,47019893,9329,4
5146,1000,72535373,18729,2
1468,1000,33852016,13094,7
1259,1000,34076928,8724,4
4458,1000,82528119,13932,2
2460,1000,49900755,9537,5
5094,1000,72040831,18580,12
1549,1000,30781070,13775,2
2491,1000,46443263,9407,5
1359,1000,29997474,11321,6
4414,1000,82528119,13932,3
1538,1000,30781070,13775,13
1921,1000,41732379,13654,2
2029,1000,42049556,13365,7
4211,1000,91592930,11249,2
4372,1000,91725803,11425,9
4430,1000,82528119,13932,2
1574,1000,32779882,14293,2
501,1000,14266093,5316,76
1565,1000,30781070,13775,120
2282,1000,47894878,13155,2
4099,1000,94316924,11021,5
3475,1000,66012655,10117,2
4317,1000,91548925,11386,7
4746,1000,76054564,16264,61
547,1000,20831690,5538,2
902,1000,34342704,4805,2
3505,1000,67983529,10085,4
755,1000,25357496,4606,2
5108,1000,72535373,18729,8
5139,1000,72535373,18729,12
1899,1000,41732379,13654,4
107,1000,2695892,8197,2
1981,1000,43028789,13658,6
5023,1000,72669249,17508,18
3799,1000,85268528,10816,9
4631,1000,80763864,15100,5
2656,1000,46102454,9437,4
718,1000,25357496,4606,3
4484,1000,82528119,13932,2
4649,1000,80763864,15100,4
3185,1000,57957639,9735,4
4053,1000,91250970,10803,2
4900,1000,72622843,17109,4
5176,1000,73579405,19180,14
2826,1000,54913100,9563,6
1044,1000,31354756,7765,4
918,1000,34342704,4805,3
2592,1000,48461467,9341,3
3641,1000,76249171,10274,4
568,1000,20831690,5538,2
125,1000,3212936,8647,2
2165,1000,47254064,13269,64
3305,1000,65630144,9808,12
1585,1000,32779882,14293,2
1707,1000,34017939,14471,5
3780,1000,84550172,10801,2
4418,1000,82528119,13932,2
3894,1000,90547664,10793,3
3901,1000,92435886,10694,5
1953,1000,41732379,13654,6
1064,1000,31354756,7765,2
4864,1000,72142728,17010,5
2562,1000,48461467,9341,4
1431,1000,32270070,11637,11
1260,1000,34076928,8724,2
1052,1000,31354756,7765,3
1669,1000,33799053,14551,3
2312,1000,47894878,13155,10
170,1000,5384136,7979,6
2712,1000,53334048,9442,2
4776,1000,77909421,16646,4
3807,1000,74905317,10867,4
1529,1000,30781070,13775,2
3262,1000,66181076,9831,3
2291,1000,47894878,13155,4
599,1000,16452682,5518,2
1467,1000,33852016,13094,4
3002,1000,58308034,9546,4
1627,1000,33493744,14420,2
2131,1000,47254064,13269,4
5061,1000,72797978,18362,17
4841,1000,73922449,16846,2
2843,1000,54913100,9563,3
3448,1000,63895791,9951,4
507,1000,14423307,5405,2
1988,1000,43028789,13658,2
2095,1000,42049556,13365,3
1781,1000,37009376,14380,2
3317,1000,66540261,9823,24
1604,1000,32779882,14293,3
4653,1000,80763864,15100,2
284,1000,8273149,6405,2
821,1000,29102466,4496,4
2968,1000,57351298,9464,2
1898,1000,41732379,13654,2
4995,1000,73063143,17313,5
5003,1000,73181647,17387,2
351,1000,8731182,5428,2
4531,1000,82528119,13932,9
2390,1000,47894878,13155,4
2682,1000,46102454,9437,7
4811,1000,73125663,16668,3
1733,1000,36060872,14387,5
3784,1000,84550172,10801,2
3882,1000,87935107,11130,6
2363,1000,47894878,13155,2
4060,1000,91250970,10803,9
1240,1000,34076928,8724,2
924,1000,34342704,4805,2
1051,1000,31354756,7765,2
2601,1000,48461467,9341,4
40,1000,1793763,9367,5884
3042,1000,58308034,9546,4
2842,1000,54913100,9563,2
2807,1000,54913100,9563,2
4120,1000,94316924,11021,5
1400,1000,31308587,11268,3
4945,1000,72529875,17262,2
3226,1000,60007203,9922,8
844,1000,30151406,4360,23
350,1000,8731182,5428,3
2168,1000,47254064,13269,13
636,1000,18881268,5420,2
4777,1000,77909421,16646,2
2122,1000,47254064,13269,2
1932,1000,41732379,13654,4
3549,1000,70173388,10183,2
3795,1000,85268528,10816,3
2877,1000,53723108,9656,4
1850,1000,39139561,13977,4
4911,1000,72622843,17109,20
2511,1000,47668601,9296,13
2408,1000,54383226,11905,18
4796,1000,73393406,16642,2
3923,1000,93035361,10642,3
577,1000,16452682,5518,8
619,1000,16452682,5518,5
4171,1000,90149194,11205,3
5004,1000,73181647,17387,17
407,1000,13914624,5363,3
379,1000,8731182,5428,2
976,1000,34368098,6089,4
1354,1000,32706899,10085,6
1923,1000,41732379,13654,2
4280,1000,91567071,11309,2
3188,1000,57957639,9735,2
4943,1000,72529875,17262,5
1010,1000,34368098,6089,4
5142,1000,72535373,18729,5
4951,1000,72529875,17262,9
1341,1000,32706899,10085,5
3000,1000,57351298,9464,19
63,1000,1195170,6661,3
2789,1000,54913100,9563,4
138,1000,3212936,8647,2
314,1000,8731182,5428,4
1447,1000,31013442,12085,4
1668,1000,33799053,14551,2
2687,1000,52431733,9455,4
3738,1000,83751999,10655,4
581,1000,16452682,5518,4
2478,1000,46443263,9407,15
4792,1000,73393406,16642,3
4946,1000,72529875,17262,3
4434,1000,82528119,13932,2
253,1000,8273149,6405,18
