ID,Message Size,Sending Rate,RTT,Latency
4516,1000,55156162,17900,5
4125,1000,51491029,13989,4
1603,1000,46478664,10396,9
1676,1000,46320450,10903,2
4798,1000,54576341,29163,90
3798,1000,48903596,13157,3
437,1000,15249510,6498,3
3552,1000,44557154,15081,3
1521,1000,43817311,9486,2
2115,1000,30645933,14580,4
3560,1000,44557154,15081,2
1081,1000,35707876,7171,5
4441,1000,55156162,17900,4
539,1000,20211311,6504,9
3683,1000,44135392,13546,4
3723,1000,47836068,13241,2
4114,1000,50731090,13545,61
4016,1000,51434083,13507,5
1291,1000,41804780,8141,2
1508,1000,43817311,9486,2
3347,1000,39691792,16460,2
2391,1000,28434622,15899,4
5139,1000,31642237,41938,94
4744,1000,46952189,21809,11
4062,1000,50731090,13545,5
3990,1000,51434083,13507,4
680,1000,26990876,6597,3
1057,1000,37075905,7107,8
2138,1000,30645933,14580,19
597,1000,17534574,6382,2
1581,1000,46478664,10396,2
3437,1000,39691792,16460,5
3677,1000,44135392,13546,4
3768,1000,48903596,13157,3
4594,1000,55156162,17900,4
4918,1000,32789340,35671,63
1194,1000,41804780,8141,4
2702,1000,34626641,19591,3
1613,1000,46478664,10396,2
743,1000,26990876,6597,3
3577,1000,44557154,15081,2
700,1000,26990876,6597,2
2305,1000,28434622,15899,2
3224,1000,42816279,19439,4
4409,1000,55156162,17900,2
2906,1000,39045545,20201,3
2895,1000,39045545,20201,2
45,1000,1868269,8346,7
2598,1000,34030682,19417,6
4212,1000,51491029,13989,2126
1640,1000,46320450,10903,2
4120,1000,52857331,13824,13
4618,1000,55156162,17900,3
654,1000,24758479,6477,3
4621,1000,55156162,17900,4
1661,1000,46320450,10903,2
3566,1000,44557154,15081,3
4596,1000,55156162,17900,2
4361,1000,55156162,17900,4
135,1000,3615730,6682,62
739,1000,26990876,6597,20
4279,1000,55156162,17900,3
41,1000,1868269,8346,41
2833,1000,38268795,20236,4
1058,1000,37075905,7107,10
519,1000,20211311,6504,11
1213,1000,41804780,8141,3
2208,1000,30645933,14580,10
2735,1000,36242146,19562,44
3295,1000,45112901,19577,2
894,1000,28681709,7115,3
4040,1000,50731090,13545,2
2409,1000,28434622,15899,2
3965,1000,49614380,13245,81
299,1000,12248030,6907,2
1304,1000,48055850,9031,3
2441,1000,31814401,17483,4
3517,1000,43481653,15481,2
4709,1000,46517902,21173,6
1123,1000,40008566,7750,2
2212,1000,30645933,14580,3
4876,1000,32289418,35270,4
968,1000,32970448,7325,2
1442,1000,43972165,9093,4
3881,1000,52512854,13050,4
3772,1000,48903596,13157,3
1745,1000,48768648,10868,2
4524,1000,55156162,17900,2
450,1000,15249510,6498,2
1434,1000,43972165,9093,4
2518,1000,34183163,18178,76
1352,1000,43172880,8952,4
2097,1000,30645933,14580,2
2443,1000,31814401,17483,2
3415,1000,39691792,16460,5
3179,1000,42816279,19439,3
3339,1000,39691792,16460,3
2020,1000,44915812,11361,3
2896,1000,39045545,20201,3
3952,1000,49454080,13183,5
4398,1000,55156162,17900,3
4556,1000,55156162,17900,2
402,1000,15249510,6498,2
4547,1000,55156162,17900,2
1506,1000,43817311,9486,3
3693,1000,47836068,13241,2
1639,1000,46320450,10903,4
685,1000,26990876,6597,2
2689,1000,34626641,19591,4
1371,1000,43972165,9093,4
756,1000,24074667,6985,2
3893,1000,52512854,13050,2
2771,1000,36457547,19575,4
3629,1000,46452084,13691,2
3837,1000,50276131,13147,2
3461,1000,43481653,15481,2
1749,1000,48768648,10868,2
2635,1000,33708789,19503,5
3116,1000,42816279,19439,2
