ID,Message Size,Sending Rate,RTT,Latency
13,601691,10194168,4145,60106
1911,2648198,28896166,36788,55898
414,850084,9722013,664655,151797
4077,2770660,13946018,2313,54183
2486,1663337,31413806,13283,355551
2274,1681291,31807593,21832,25465
2457,1721032,5640030,654223,12680
580,2789225,4649779,3944,306113
1296,742283,3646761,482713,8289
5118,1833355,9152469,279210,219748
1831,1644331,18831389,272072,226048
3489,952038,19912489,5122,31728
902,2146834,5112943,574124,14075
2431,2701580,14685870,107854,114858
2947,2093460,9704739,248097,16799
1873,2809101,33049380,12542,91721
3916,2447888,8774291,455322,25404
2239,1852081,23537316,102805,118121
1495,2337873,53454525,6403,108980
781,1875609,27988984,29205,52967
3020,2984741,6289330,32924,481493
1899,2062353,27980522,37941,119621
350,2483863,16020363,664655,139292
2339,2057643,96478313,2210,8471
3816,1027399,11088218,1917,20354
3978,1369810,13769558,1749,128754
4996,1520579,13432597,31296,113878
2044,1762647,15435123,207899,114982
4966,2027584,15340333,31296,32669
3178,2626011,14224276,4965,183421
656,552034,3626261,161528,7226
4629,2248562,12652527,41250,255683
1704,2326704,15409559,2971,291226
3956,1426316,21788649,4084,33160
448,2680350,8566750,113394,329821
1741,2989283,34002292,132179,25592
4606,1942221,21328004,303964,36719
4895,2833102,6240655,31296,66090
2445,514037,11548364,180431,6480
2651,1983689,30101677,6627,107547
5173,637135,9601242,61239,3380
694,1148942,135943162,8219,166064
27,622571,63002051,318813,9975
1287,1091587,13470551,226695,10224
1215,1275240,10518421,23658,7514
5195,1059961,10452261,3687,31147
1822,1996997,7183979,762251,151648
4537,1371388,24399479,236379,255476
3099,898568,9713796,4965,30480
408,1983461,9730530,664655,217817
2936,2462153,10690665,1704,704288
1630,1980266,10845689,2971,72473
4902,810094,6539990,31296,32333
2697,2756795,11325202,3198,64471
2583,2587040,5094203,32182,1445196
1291,1164745,3580584,1343980,12977
1133,2152737,13103288,2779,170775
2677,2769918,7878268,510598,104549
5154,1837576,11570559,36225,11874
790,2245727,29797196,569,112853
1568,1506467,11439945,250212,26126
3156,980232,22266520,4965,21637
911,751481,7225722,151879,7705
992,2539412,15166884,3659,60488
4487,2081737,28358993,96106,29926
2312,1892332,37670420,27557,41517
4510,2793327,26423352,152613,153688
3959,2388659,23829792,4084,51854
5112,2800359,9190814,279210,310878
682,2488504,27914052,485,248156
2388,2234343,13746813,18618,12116
4444,987600,7390606,34292,514795
1062,1352785,21286581,1631,37962
1777,1130840,4657087,745235,33172
347,1527342,15139025,664655,41446
2402,2113831,9550885,69146,44175
5002,1920744,13342289,31296,143460
1314,1048695,16103597,4138,229850
1422,2402270,10379349,7767,104652
5075,1392855,13448229,31296,113068
1672,636040,30350776,2971,9996
1753,1507371,11993026,552193,50881
186,575635,6498572,3984,27930
1891,570090,22578247,23794,22378
2211,2029950,7495255,157835,53735
2434,2700749,5965370,666575,17412
4365,1697970,3540493,1519592,20161
