ID,Message Size,Sending Rate,RTT,Latency
1444,1000,33126393,9680,2
815,1000,25163155,10130,2
1464,1000,34330410,9629,2
2832,1000,79202885,6127,3
2951,1000,88960354,6249,12
1690,1000,30131115,6603,2
3767,1000,41699622,17429,2
1340,1000,36172753,11236,2
3666,1000,84280477,8095,4
724,1000,21041488,9172,4
1714,1000,30131115,6603,2
3928,1000,40175458,21018,2
4609,1000,18219768,71439,4
5178,1000,14734802,138185,5
1317,1000,34881367,11345,2
5095,1000,13950774,131773,18
4119,1000,37041551,25566,76
899,1000,16147881,11489,5
414,1000,12006122,7106,2
1249,1000,28890526,13208,4
2781,1000,76896521,6081,2
3100,1000,100514951,6216,3
26,1000,1553176,9494,2
3139,1000,102199997,6198,13
3262,1000,93680358,6065,18
734,1000,21041488,9172,4
3561,1000,98114731,6152,5
852,1000,16147881,11489,2
705,1000,18207842,7732,2
2408,1000,56645604,6274,7
1013,1000,21558151,12382,5
2747,1000,76676868,6106,2
4045,1000,38704534,24091,3
2937,1000,88960354,6249,3
313,1000,9631261,6316,6
1441,1000,33126393,9680,6
4222,1000,29408053,32923,5
1285,1000,34086668,11675,2
2549,1000,61114161,6216,4
2615,1000,63846805,6241,3
3155,1000,102199997,6198,16
4740,1000,15422814,89353,5
2261,1000,45305914,6003,3
901,1000,16147881,11489,5
691,1000,18207842,7732,4
3292,1000,96068097,6212,2
1788,1000,30131115,6603,2
1034,1000,21558151,12382,5
1104,1000,20347802,13104,4
3393,1000,98114731,6152,2
3686,1000,84280477,8095,3
417,1000,12006122,7106,4
2591,1000,63163644,6214,2
4354,1000,23423790,44963,4
3409,1000,98114731,6152,3
263,1000,7899874,6504,40
584,1000,20598013,6991,2
1316,1000,34881367,11345,4
2571,1000,61894916,6193,8
1311,1000,34881367,11345,2
2367,1000,54709808,6116,5
2624,1000,63846805,6241,12
2366,1000,54709808,6116,4
454,1000,16829038,7089,5
4181,1000,32997018,30193,3
4801,1000,13900178,96833,1911
3333,1000,98114731,6152,3
4970,1000,12716155,118936,18
855,1000,16147881,11489,2
1159,1000,20495735,13179,2
3351,1000,98114731,6152,3
4401,1000,24186886,48560,1978
3583,1000,98114731,6152,4
3797,1000,41699622,17429,2
2127,1000,36134324,5770,4
1242,1000,28890526,13208,2
4288,1000,29092275,40129,4
4851,1000,13538673,105276,5
125,1000,3334729,7876,2
3793,1000,41699622,17429,2
3772,1000,41699622,17429,16
1163,1000,20495735,13179,21
4576,1000,18341325,67514,4
4743,1000,15422814,89353,1905
1611,1000,36329676,6839,3
1646,1000,29543593,6747,2
2713,1000,79552324,6152,29
3183,1000,81296302,6167,2
3160,1000,85133027,6179,2
4672,1000,16741384,79945,1727
1863,1000,33468377,6263,3
1964,1000,32509697,6233,2
2132,1000,37146795,5700,2
1339,1000,36172753,11236,4
441,1000,16829038,7089,3
477,1000,16829038,7089,2
3925,1000,40175458,21018,2
1051,1000,20051936,13117,14
4282,1000,28510453,35866,2
4086,1000,38704534,24091,5
1629,1000,36576126,6817,5
4147,1000,35119978,27958,5
4979,1000,12905403,121095,2
2601,1000,63066050,6329,9
3647,1000,84280477,8095,3
4622,1000,17207286,73427,5
4597,1000,18030895,69460,8
1914,1000,33468377,6263,2
3519,1000,98114731,6152,5
5158,1000,14482471,136159,3
5013,1000,13085639,122984,4
602,1000,20598013,6991,2
3416,1000,98114731,6152,3
1092,1000,20347802,13104,4
2354,1000,54322648,6088,2
4663,1000,16741384,79945,5
3419,1000,98114731,6152,2
367,1000,12006122,7106,11
2990,1000,91969363,6357,2
3119,1000,102199997,6198,3
2288,1000,45305914,6003,3
932,1000,21558151,12382,4
99,1000,3032819,7356,5
3611,1000,84280477,8095,3
3395,1000,98114731,6152,3
4879,1000,12830092,108829,7
290,1000,9631261,6316,39
4922,1000,12391729,114923,7
386,1000,12006122,7106,5
5113,1000,14212116,132202,5
340,1000,9631261,6316,5
1334,1000,34881367,11345,3
4633,1000,17400308,76132,6
4767,1000,14346818,93034,4
5156,1000,14482471,136159,2
1313,1000,34881367,11345,2
749,1000,21041488,9172,3
2961,1000,89923237,6366,8
2054,1000,34730973,6418,2
1312,1000,34881367,11345,4
4976,1000,12905403,121095,6
4291,1000,29092275,40129,3
3448,1000,98114731,6152,4
5122,1000,14212116,132202,9
1098,1000,20347802,13104,5
1733,1000,30131115,6603,7
3631,1000,84280477,8095,2
1255,1000,33689319,12148,5
5177,1000,14734802,138185,3
1796,1000,34684409,6651,3
580,1000,20598013,6991,2
1335,1000,34881367,11345,2
2019,1000,32584720,6223,36
547,1000,16829038,7089,2
20,1000,433054,9538,1842
690,1000,18207842,7732,35
3734,1000,41657460,16928,2
100,1000,3032819,7356,2
4758,1000,14346818,93034,4
5015,1000,13265876,124703,16
3349,1000,98114731,6152,2
585,1000,20598013,6991,2
1564,1000,33290126,7514,2
508,1000,16829038,7089,4
3445,1000,98114731,6152,5
586,1000,20598013,6991,1
4218,1000,30221797,31847,1471
1391,1000,30116352,10445,8
346,1000,9631261,6316,5
2677,1000,81458152,6138,4
4892,1000,12674205,110567,5
4916,1000,12510650,112394,5
4509,1000,20334535,60001,4
2274,1000,45305914,6003,4
1982,1000,32584720,6223,2
2801,1000,76896521,6081,2
4126,1000,37041551,25566,8
1601,1000,35508176,6994,4
2865,1000,79202885,6127,5
4724,1000,15256730,87761,2
2557,1000,61114161,6216,5
3365,1000,98114731,6152,2
474,1000,16829038,7089,2
4628,1000,17400308,76132,14
2419,1000,56839183,6232,2
2881,1000,86490525,6162,2
3470,1000,98114731,6152,14
3515,1000,98114731,6152,2
455,1000,16829038,7089,2
3288,1000,95272184,6163,4
4551,1000,19922044,63701,3
3362,1000,98114731,6152,3
4659,1000,16741384,79945,5
1850,1000,33468377,6263,2
3187,1000,81296302,6167,30
4932,1000,12391729,114923,9
1144,1000,20495735,13179,4
2741,1000,83204965,6249,5
4223,1000,29408053,32923,2
930,1000,21558151,12382,3
549,1000,16829038,7089,1252
3710,1000,84280477,8095,2
4791,1000,13900178,96833,11
2368,1000,54709808,6116,6
4497,1000,20649067,57021,6
1458,1000,33384397,9660,2
2514,1000,64726724,6245,4
787,1000,25163155,10130,4
762,1000,25163155,10130,4
2291,1000,45305914,6003,3
2492,1000,64207419,6175,4
2730,1000,83204965,6249,4
1716,1000,30131115,6603,2
4240,1000,29408053,32923,2
879,1000,16147881,11489,5
2251,1000,45305914,6003,4
2744,1000,76676868,6106,8
4280,1000,28510453,35866,6
1639,1000,36576126,6817,4
1229,1000,28890526,13208,3
1366,1000,29428342,10639,2
4414,1000,24547237,51401,3
1117,1000,20347802,13104,2
4412,1000,24547237,51401,5
4642,1000,16544435,78010,4
745,1000,21041488,9172,2
1271,1000,33689319,12148,5
2091,1000,38695248,6134,2
2752,1000,76676868,6084,5
1976,1000,32584720,6223,9
2113,1000,36134324,5770,2
4929,1000,12391729,114923,2
859,1000,16147881,11489,3
260,1000,7899874,6504,14
2343,1000,53645120,6087,5
267,1000,7899874,6504,39
2901,1000,86490525,6169,2
1324,1000,34881367,11345,2
326,1000,9631261,6316,5
3557,1000,98114731,6152,3
3573,1000,98114731,6152,5
73,1000,1729435,6403,2
143,1000,4257734,7958,3
2683,1000,81458152,6138,3
4898,1000,12674205,110567,13
961,1000,21558151,12382,2
2,1000,32146,10172,2
3595,1000,84280477,8095,46
4775,1000,14125730,94705,3
4054,1000,38704534,24091,5
136,1000,4257734,7958,2
