ID,Message Size,Sending Rate,RTT,Latency
3044,1288995,13527162,57019,46651
3937,547689,8793897,1254,20278
1984,1767933,8859813,30735,336876
2642,2700205,5727817,290667,428344
3442,1996577,10077912,20325,183785
2179,1534510,25557182,51157,434687
2837,753630,92220388,5959,6676
4060,1315472,7400355,1212,94694
4693,1726048,23064577,6070,178297
4903,1567245,89638680,361,299804
2463,828867,70250301,8124,32918
1424,1516326,23320219,5833,147139
3332,2726862,6350559,3825,59157
1211,1560322,7961545,158660,48726
3443,2361124,11904205,111673,44252
4062,1606630,5636374,115657,43613
3214,1799061,12176251,58957,22022
2815,2086678,19779389,16703,181998
4161,2056672,18047630,60631,64419
74,1826034,21888889,124136,27649
1004,1543667,11585374,120116,21560
4683,959319,16493220,1490,29533
4799,1859943,4964906,13302,15967
4895,1842833,18644031,3454,65906
257,740644,19035240,2154,17315
2005,1450522,33460582,30177,23197
3519,1263550,11248120,6129,114355
1849,684015,34223483,40898,15574
288,2068426,10970281,1038,153839
3274,2429964,4003560,66510,295213
3990,748056,16135275,775,13004
4701,2549419,4218446,9167,215973
5075,1717071,2378301,30685,182870
1575,2470303,14224368,155793,108102
534,1658964,10749785,541274,85044
1823,2905692,8121386,13781,443647
616,1288553,13517507,95964,106968
2640,2587426,7983478,213928,235334
2669,753688,11868968,28540,10248
990,1526341,14271490,114943,89813
2504,2468638,12627423,5805,61804
2655,2640054,31064591,3181,156159
3203,1130912,14122553,93425,16224
4184,2773300,17345022,86150,82946
5060,2343492,5547221,8036,308889
5133,1437259,28055564,37056,270583
793,2495377,5655707,37961,284930
1489,1348576,12795945,154546,118657
4902,2719509,54550790,724,159821
3050,2853162,63629424,2594,161401
2810,2100903,5694769,273143,117064
3016,2372929,18271790,70615,214148
4580,2133058,15859228,8755,122872
2393,1477685,26140522,36036,717010
1078,2933517,44475536,45128,254660
3642,989522,12457832,1495,25506
3013,2131644,28262887,4567,71488
2824,1067673,3671437,2002,77581
4139,1959817,32306436,26547,115567
3399,2668234,6535639,272394,76281
4294,2168651,11607626,137084,21606
1950,1135695,8794330,9526,160529
3207,2887976,25015290,64266,216448
1090,1264437,14035023,128424,166840
1512,2414029,56089268,1246,322207
2230,1112393,28572156,9099,7050
4854,2457683,7065378,93810,85501
4470,697316,15951631,623,64280
3457,1667191,20574284,17768,254708
714,2912583,27331068,1773,400337
2562,2702954,5361894,316985,240367
1299,1148990,18610329,1948,170860
3140,1724165,15219978,73508,20989
3500,1833588,65021881,8350,46725
4565,2754453,30345581,3007,1077699
1429,1359788,5532317,337189,83919
4982,2668350,19665921,4421,82064
3837,811124,16452995,4629,32329
1814,2282184,27707193,43503,126378
339,2210998,8959411,3759,44744
4445,2448479,50936632,10099,375763
5163,521945,8086097,216441,9631
2063,1172546,5296662,122987,26373
424,1156741,18996568,55411,14349
915,2518912,14614552,1272,507631
3754,1991587,4639886,43242,287349
3301,1111391,31927934,30571,157097
2875,1164841,8800412,179591,14572
3502,1088342,30567613,41746,405119
4205,1686048,2609049,604766,23484
1965,2316304,6807387,163793,43794
2031,2944395,26694421,759,251240
738,738000,10467455,181137,73507
