ID,Message Size,Sending Rate,RTT,Latency
4872,1000,31685580,18008,2
1418,1000,41507667,7988,3
5150,1000,32537573,30047,17
2116,1000,25098463,26871,164
674,1000,13256012,7773,5
4644,1000,29251982,15899,2
494,1000,13370258,8547,2
8,1000,36556,8945,4
2339,1000,17934514,36845,2
2851,1000,22380799,35591,4
3252,1000,29263312,29465,2
4864,1000,31685580,18008,2
2468,1000,20757872,39601,43
1367,1000,41507667,7988,4
1490,1000,44944351,8494,4
4076,1000,26528579,15628,9
2048,1000,22752107,25486,5
2828,1000,22044937,35736,4
4204,1000,29251982,15899,2
5021,1000,41894832,24213,3
2803,1000,21835625,36442,4
1567,1000,29501561,8894,2
339,1000,8206518,9113,3
2109,1000,25098463,26871,4
2924,1000,22992263,35077,2
3346,1000,26147100,28509,4
2046,1000,22752107,25486,5
1413,1000,41507667,7988,3
5136,1000,32537573,30047,5
50,1000,894475,6213,5
3258,1000,29263312,29465,4
1545,1000,29501561,8894,10
1041,1000,31097513,5459,4
2446,1000,19429233,38172,4
130,1000,4980335,4476,5
2656,1000,19698660,38762,16
53,1000,894475,6213,2
3274,1000,29263312,29465,4
561,1000,13370258,8547,4
3949,1000,25018357,15736,2
4457,1000,29251982,15899,2
289,1000,6915236,8353,6
4506,1000,29251982,15899,3
5042,1000,42905768,25881,5
3415,1000,26147100,28509,2
1246,1000,36719103,7151,4
2630,1000,20622688,39277,4
4793,1000,29251982,15899,3
2512,1000,19236612,38682,2
1279,1000,39598398,7620,4
2597,1000,19901928,38874,3
1943,1000,30804763,19091,6
542,1000,13370258,8547,3
1009,1000,31097513,5459,2
3850,1000,24759206,15219,4
3928,1000,25018357,15736,2
4666,1000,29251982,15899,2
1038,1000,31097513,5459,3
1989,1000,34414715,22519,11
736,1000,14372767,7342,2
472,1000,10887396,9705,1499
1138,1000,25793780,5960,8
26,1000,1344725,9692,6
2726,1000,20942823,36443,2
2912,1000,22929778,35316,4
3451,1000,26147100,28509,4
193,1000,6656061,8881,23
550,1000,13370258,8547,3
1339,1000,41507667,7988,3
2418,1000,19429233,38172,4
966,1000,31097513,5459,2
3027,1000,22992263,35077,4
2035,1000,21211966,25445,4
4502,1000,29251982,15899,5
233,1000,5878174,7892,2
756,1000,19368013,6212,2
919,1000,31097513,5459,4
3869,1000,24759206,15219,4
4802,1000,29251982,15899,2
4806,1000,29251982,15899,2
1384,1000,41507667,7988,4
2640,1000,19698660,38762,4
2459,1000,19429233,38172,215
3879,1000,24759206,15219,4
936,1000,31097513,5459,2
3808,1000,23076946,14853,4
4786,1000,29251982,15899,3
1352,1000,41507667,7988,3
1960,1000,32784414,20132,4
104,1000,3326218,4068,2
1776,1000,28266378,12330,9
155,1000,4480575,7041,4
3750,1000,22710246,14809,5
2096,1000,24176680,26183,72
4899,1000,31685580,18008,3
1844,1000,27660612,15128,2
424,1000,10887396,9705,13
4217,1000,29251982,15899,5
2900,1000,22380799,35591,4
3325,1000,26147100,28509,4
4524,1000,29251982,15899,4
1062,1000,31097513,5459,2
317,1000,6915236,8353,6
1726,1000,36512160,11050,4
2010,1000,21211966,25445,4
1653,1000,29501561,8894,3
3268,1000,29263312,29465,2
475,1000,13370258,8547,5
3399,1000,26147100,28509,4
3707,1000,22748955,14815,5
4648,1000,29251982,15899,3
1942,1000,30804763,19091,3
3360,1000,26147100,28509,4
4351,1000,29251982,15899,4
3580,1000,21747038,14204,12
1415,1000,41507667,7988,3
2086,1000,24092882,25980,5
3131,1000,27171047,29823,2
4927,1000,45074720,20672,3
3127,1000,27171047,29823,2
3207,1000,27171047,29823,2
4794,1000,29251982,15899,4
198,1000,6656061,8881,4
2526,1000,19236612,38682,15
3745,1000,22710246,14809,3
4970,1000,46484540,22533,5
1632,1000,29501561,8894,2
1312,1000,39852967,7695,4
3108,1000,27171047,29823,3
3370,1000,26147100,28509,4
4361,1000,29251982,15899,5
4986,1000,46608936,22645,4
1694,1000,36512160,11050,5
4,1000,36556,8945,5
1080,1000,25793780,5960,5
1018,1000,31097513,5459,3
3276,1000,29263312,29465,3
4001,1000,25054841,15648,4
1028,1000,31097513,5459,12
2399,1000,19429233,38172,5
1985,1000,34414715,22519,11
3338,1000,26147100,28509,5
5189,1000,30070158,32717,3
766,1000,19368013,6212,2
