ID,Message Size,Sending Rate,RTT,Latency
2052,1182015,614043401,119956,6577
2442,1170029,511792148,119956,7995
5729,1827030,171971460,227,9919
5239,1028774,48848946,227,5240
6180,536346,262997564,28998,6076
1747,976302,18175365,119956,8288
1474,919757,106012258,193,5936
1776,1174516,243989256,119956,6698
106,2467066,65099840,202468,15917
2484,896473,561969627,119956,7204
2523,1737104,129416761,119956,10711
1028,2103348,98267149,4656,26175
5637,629692,141009106,401,3034
1040,1556961,87511068,379,14360
2136,1496776,235497355,119956,9701
4144,2014996,29433200,199,19605
879,2243340,8100920,93267,23968
3982,2048257,27623861,19328,14184
4631,582252,510414204,100416,4360
5244,1449588,263719725,873,43745
5289,1305963,455545774,180,16744
4235,1622173,625630912,115,8260
503,2173964,113435626,210,16455
3262,805485,201336147,119956,4387
5447,2322594,78257837,95540,12958
2374,680598,794638262,119956,4522
3346,1920068,143700728,119956,14971
5456,1648976,268990196,5800,11939
544,2442048,5201781,282,24472
2155,811789,191253376,119956,4422
5970,1508114,85091186,160,1414272
3589,706421,327833674,304,4170
5967,1359397,258414973,119,12420
4053,2473447,186692144,1174,18965
4351,561934,5763590,391,3147
765,2014599,234347386,826,12720
1367,1190133,60628765,182,7592
2832,959885,416308576,119956,5505
2915,950167,1764424347,119956,6692
4257,877442,36451695,720,6572
5441,1538692,50227666,95540,10257
1188,1657204,37039053,11881,8903
3150,1322081,198114430,119956,960992
4610,1827057,396590892,100416,11505
2921,949683,224517477,119956,7103
3293,1059094,425360201,119956,6894
3344,1097567,207667144,119956,6444
1669,1242842,57497191,399,7365
3715,1815306,109213264,130,22587
5851,1814443,135888712,153,24011
1839,1469149,402068943,119956,8861
5330,750486,23922809,362,5855
6181,2296273,76625877,1164,33957
4105,911045,142909141,177,9147
3910,1091265,180060336,576,10499
731,2263401,132050526,341,12748
2320,821069,733260103,119956,4572
2807,1685945,197101097,119956,8849
5116,1533062,74429607,183,1017283
5531,2223195,241297244,351,13058
5587,1053541,184720607,151,1176030
5353,727344,76016716,358,4484
3850,711763,153320466,146,9594
4515,2137253,213555023,100416,14893
1183,1392484,295298813,195,6888
1801,1836644,219509124,119956,10334
4163,830036,202037644,124,9286
6036,1250621,103917386,43832,8173
5663,888789,149239536,64075,5886
6119,2042462,147625636,16873,12771
97,2357575,48586840,202468,15395
2100,665614,250891258,119956,3694
4806,703567,1041215950,1350,4684
5913,1337181,93093409,2137,14533
60,1201366,293680595,161,12236
1030,1530546,87894388,234,17984
245,986268,414586476,416,8254
459,1349910,29759400,437,8686
791,1491242,501081678,119,21030
1947,2050113,267327966,119956,12173
5314,898130,20698627,397,5022
1692,787903,82410759,114,5881
306,1662166,91034464,235,11199
910,543329,402871190,93267,3238
5771,1783091,82128218,147,14619
691,1934523,57629964,167,12991
3899,745069,120348367,396,4567
4117,1136847,330876293,210,9752
5588,1670877,158458194,248,17448
2315,1047543,689690799,119956,5700
5890,2130848,48798853,775,12711
971,1518575,408680129,59743,10145
21,725339,124655657,386,5032
4542,1097583,335695187,100416,5978
1533,1546675,156004823,137,11273
2976,2316310,259088207,119956,12418
5979,1905147,494516717,173,20832
3242,1987941,625693494,119956,11402
2528,1441991,317579565,119956,8456
3588,1681314,151098963,309,8503
4650,915481,352946293,100416,4313
4971,1970966,126816066,341,17777
3095,2360861,307624014,119956,12887
5735,1618954,580323167,293,14111
3328,1660763,701504359,119956,10337
5043,1181514,167091099,182,5967
3050,1991510,170635945,119956,13322
5757,1046925,36251013,308,6487
6038,2008928,210212137,43832,11070
4402,1516405,493044536,100416,8910
269,1994217,34549396,6039,11859
3754,736003,212635552,203,4722
3841,1160541,353470530,400,1136189
2757,1893138,155764112,119956,11369
2796,1416762,743983855,119956,7118
4954,1182216,95682544,958,11098
4670,2003531,539100150,100416,9376
3386,1309169,173435124,119956,1077998
5413,2033460,521998965,439,12588
5108,1316463,5631163537,384,7154
5156,1712740,97468989,185,9104
5781,565920,46169993,102426,6047
4732,1294625,464338011,485,10881
5693,2356541,577642953,528,20719
2808,874001,618624390,119956,4214
6070,1164719,54272548,155,5527
1448,2319329,1253511668,159,15763
930,1702568,3217357,59743,16904
3289,525376,273716309,119956,2488
4179,1217344,290868267,178,9300
4623,2077016,606679413,100416,9717
2742,908139,119547746,119956,4731
4195,2441394,135993293,1227,31436
223,1871414,267809922,291,10904
5445,990730,133900381,95540,5565
5692,2342024,183141246,528,14300
5776,1086645,68237113,102426,5994
1325,1235045,158763815,295,9652
3881,782465,96696293,331,4839
955,2312120,22376542,59743,13251
4529,528648,1686045633,100416,2663
368,698915,65654304,193,6179
293,1330420,69689163,166,13523
3334,921249,938447517,119956,5198
2334,1400442,268649270,119956,986930
2694,2169564,268532024,119956,15894
2624,915083,1689960288,119956,4631
4176,1567380,211722594,313,8151
1544,2035388,34773422,7356,16426
1729,972881,158068,119956,13103
2593,1188592,613263569,119956,6542
1825,2401581,366147455,119956,15814
2534,1906513,323860426,119956,14079
4052,791546,11318535,1080,9970
30,685318,362216464,225,4355
3796,843163,76898738,322,5668
4016,2247179,169237783,117,20905
4380,2306408,649168,100416,14872
4393,1767832,266321097,100416,10412
6185,568202,160679236,601,2583
2338,957437,425630552,119956,4517
4889,723301,233559009,2677,7399
5394,605340,284152069,376,3591
4908,737594,75682017,30223,5364
3811,1627682,102381000,155,19349
617,787864,150895676,670,5739
4966,1917483,260901276,283,12866
3197,1285919,135582496,119956,8339
3986,673335,446720517,19328,5116
388,2467195,367465975,246,22950
1863,1065753,434606835,119956,5340
1424,881990,319529901,168,7291
3946,835671,166535331,300,5415
2433,1035891,242134606,119956,5773
3918,1416939,16150587397,232,11391
4604,1200768,392665689,100416,7338
6031,1571221,67651363,359,8389
1018,911431,13250283,22606,6520
4688,1490992,510703469,100416,6643
5513,2138640,65451234,456,12619
4993,1830672,57489618,192,24674
2851,1206028,348042538,119956,10326
5111,2148520,57542097,183,15243
2103,810904,147831685,119956,5322
623,1262955,1420114316,95,11681
4370,1734903,3495049,100416,15455
496,1779317,102524550,89,12292
1112,2092830,163847580,124,23822
4040,1631783,385468974,7265,11540
4549,2338536,257498076,100416,13793
6102,1790122,147475279,124,14140
2470,2386465,248662745,119956,13872
420,1399893,306968215,735,5718
3225,1858019,376237653,119956,12393
5360,1391937,32666356,466,17361
844,911817,71893436,931,12554
358,1791457,454737936,216,9970
4350,1015219,290362953,208,7421
5850,780354,227750797,180,8037
2769,1000269,310276352,119956,7606
4155,1218990,175368070,127,10676
1591,1257873,614049396,627,7687
2610,1688869,155731834,119956,12323
5928,672043,185292545,14459,7224
1066,2001915,754333273,157,26983
2121,1724506,194802172,119956,14672
2950,2206121,487761538,119956,12766
1742,2199689,974978,119956,14946
2115,1668530,292771311,119956,9451
4776,1342804,80900799,178,18902
1272,1877242,187309965,1141,9206
973,665180,452174026,59743,3784
2114,2371292,803073165,119956,15024
2225,775935,671747573,119956,5477
2323,1528882,360698274,119956,8787
684,1056834,377478071,187,6129
2125,1945094,195556246,119956,9723
5820,2143623,141305030,178,17713
493,2351630,155230763,434,23135
2929,1840343,360790896,119956,9554
6108,2342735,235140387,319,36235
2430,2246037,659936409,119956,11856
32,1350684,91044758,254,6868
1501,1481290,83521858,214,8342
2305,889092,845067450,119956,4127
3333,2369884,261720501,119956,13681
4078,2326072,53527099,428,11548
405,1522767,174823363,33217,8101
3277,966399,496104445,119956,8849
3869,691395,89516633,274,13852
1274,1201023,41724000,2333,5819
4699,798515,446730635,100416,5172
4730,2152796,150347397,222,18583
2174,1715995,189559822,119956,8890
1721,1047504,214874443,1486,20471
4794,1842190,25911708,722,1535237
1734,2239205,207586,119956,19148
554,566882,164684715,111,5269
1229,1900393,54673353,322,12361
1717,970953,241242977,120,9100
2706,1800818,287107927,119956,14108
4292,2174353,2516660502,272,26249
4978,741604,150322121,64,5027
1204,2301766,242446975,2200,12763
5481,1169686,156010385,378,7482
2747,2433021,483193501,119956,12402
4835,1413140,1116729732,312,10363
5078,1374074,236680792,233,1310842
1099,1048638,135898328,85912,4795
5550,1463784,118400926,611,10500
2508,1771550,283867935,119956,9650
5507,1046677,78928136,391,8214
4534,509104,477075955,100416,2838
4309,785170,207207920,168,4534
5674,1362599,189466682,198,8182
216,1326216,55739029,292,985571
5870,2259976,171408240,949,25864
4481,562473,300929033,100416,3477
2390,2194834,166253954,119956,986796
5682,1783167,826522525,281,1162284
2548,1960196,362855507,119956,10966
4322,1513678,654482765,148,18692
18,1109641,112302663,385,7219
4651,1451506,306902961,100416,1318359
5574,668333,52369194,542,6826
167,672548,167562776,335,3354
2184,966451,150705448,119956,6968
5841,2399666,18048592,808,20592
5316,2326062,77096674,397,11355
120,2394043,202796293,454,15534
1055,763604,379641088,151,985241
5712,1286450,264922894,1063,7886
1622,1057128,838572307,638,4986
1444,1142427,738539916,138,18472
4382,2255629,8800368,100416,13482
1142,1920059,139785221,290,9662
2949,2434780,487761538,119956,16659
759,1597318,184327670,826,8473
2041,1539190,267340963,119956,10430
2802,2192535,628848547,119956,943734
3030,1620881,220312554,119956,9415
3635,586929,154849929,318,4412
4130,2285122,140522699,65,40533
3248,1141304,512931523,119956,5110
3705,665788,18698200,466,7468
4457,2254388,592279104,100416,12019
4234,1997437,499227871,115,9528
5392,1194757,153042330,376,5656
5310,2452513,479727365,1144,23008
6030,1269892,67651363,359,5587
3291,683369,157918952,119956,6425
3200,2363451,565721943,119956,13212
4178,999785,559032769,313,7766
1652,955357,99047849,183,8907
6160,607277,127730198,210,9991
4110,984752,200975187,423,10998
6126,532655,12246175,296,4222
4895,1220698,135065979,132,8023
3924,2383456,24991386,202,1376244
5790,1116751,356468222,634,11754
635,1167311,134198073,1321,9613
5937,2226876,484839165,308,29162
5189,508494,2282399812,212,7530
3265,905677,127786259,119956,5654
1984,1974795,208569368,119956,14373
2659,912768,331912176,119956,4826
2894,1034718,963479582,119956,5085
2002,578870,357479449,119956,3246
3155,742603,374370479,119956,5113
3006,2191369,223614232,119956,15167
4953,1892012,524818423,279,1187564
5613,2390569,137760286,138,23472
2192,1179592,198579497,119956,6024
