id,message_size,actual rtt,rtt,min_rtt,rttvar,cwnd,delivery_rate
278,1060000,196736,11998,11,11736,1016231,4655936
9486,3370000,608403,6041,71,4813,1336054,14107505
10456,3610000,198633,4166,129,4422,425699,25396428
1155,1280000,85119,4160,11,3493,1141322,19356442
7660,2910000,191911,5642,85,6430,1178072,14313857
6975,2740000,337359,5241,56,4356,1266242,13077793
6758,2680000,199847,3367,56,2854,868680,22276144
6316,2570000,237056,4071,56,3899,756484,17947076
274,1060000,106791,6097,11,4046,995472,2880490
2766,1690000,96498,12288,99,15478,915196,21698485
6365,2590000,318866,4076,56,4474,279564,31734999
1050,1260000,64107,4441,11,3780,941836,23348723
4934,2230000,120326,3549,76,2765,1011904,18500953
1772,1440000,97752,4574,11,3910,1214938,13844396
268,1060000,67632,7112,11,8875,196608,123285108
6153,2530000,130142,3541,56,3762,725806,22565753
11628,3900000,529000,8612,78,8232,1790577,10741350
8000,3000000,192184,3634,77,2804,989962,21828773
2485,1620000,128612,5031,11,4483,1366144,11629649
1986,1490000,97125,4745,11,5473,533040,29448493
4689,2170000,296966,13169,76,17777,1320118,10497254
9667,3410000,247709,8393,71,8185,1371826,12317034
8252,3060000,335117,5408,77,4320,1439964,13412297
6078,2510000,147762,6844,56,7828,820130,13801526
9463,3360000,577472,8024,71,9157,1033694,10850278
10509,3620000,639136,7761,129,9014,781520,10649359
11814,3950000,336534,3539,78,3913,465496,24989212
3206,1800000,102474,3336,70,3699,199308,34371097
727,1180000,80225,5239,11,3872,1656201,10227238
5049,2260000,170131,3091,81,3122,871014,18343681
9766,3440000,312494,4147,71,4015,1052409,19779456
163,1040000,27173,975,13,621,364464,61090065
5104,2270000,123764,3868,81,3458,1038950,20490254
6151,2530000,147463,3775,56,4121,330618,22636741
6117,2520000,220506,4379,56,4764,931978,19224035
1027,1250000,60258,2982,11,2221,809888,24074841
1626,1400000,69666,3905,11,3687,1125012,21575610
850,1210000,77675,4092,11,2971,1145012,18831348
8553,3130000,203185,3759,77,3407,1028860,18654055
609,1150000,56129,2642,11,2147,907528,24562181
6386,2590000,164868,4624,56,5465,199308,11251758
1041,1260000,212184,8336,11,8756,1418355,1038276
3474,1860000,446148,13351,70,12475,1916461,5943331
5772,2440000,447627,8531,81,9617,1531515,2256572
7259,2810000,299306,8002,56,6416,1387470,15133510
8532,3130000,311657,9502,77,10778,1331488,15664615
4674,2160000,572302,11947,76,13021,1906838,3555999
11005,3750000,242958,4013,101,3702,1146695,20049161
1366,1340000,118885,3563,11,3330,1062524,19557872
9063,3260000,178546,5573,131,6092,813760,25520834
6918,2720000,295724,3985,56,3828,1225314,20851136
8172,3040000,184379,4298,77,3652,1050178,20222662
4792,2190000,385049,12425,76,13256,947972,14678842
9602,3400000,221361,4010,71,3564,1170170,20332167
7080,2770000,143319,5298,56,4461,1064498,22078594
9744,3430000,286789,3398,71,2616,951048,18977908
10730,3680000,664429,7820,101,8712,905955,7573556
6255,2560000,188978,2867,56,2878,354242,22592376
665,1160000,108915,9618,11,8470,1249708,10582291
6913,2720000,147005,11792,56,14718,1128440,21331435
7443,2860000,151469,5642,97,6318,1075428,20385440
7509,2870000,204700,4430,97,4996,595202,20829639
8534,3130000,176169,6621,77,5817,1103390,14550901
4475,2110000,261624,4251,76,4023,1098766,20085193
7170,2790000,348271,4956,56,4608,1261476,16347573
4506,2120000,153014,4377,76,4496,1128992,17933766
9165,3290000,174953,3491,131,4009,207926,42979495
1029,1250000,92313,2916,11,2222,720346,20695178
3154,1780000,127104,5928,70,5910,1016327,9960333
2022,1500000,100735,3659,11,3948,499506,28183373
2058,1510000,82071,3261,11,3427,541530,32404140
11379,3840000,228474,3831,78,3316,1015322,19790514
